disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,ia_validRegistrations,n_i,fema_per_capita,fema_per_applicant,x_i,pct_need_met,per_applicant_alloc
4336,PR,Canovanas,3390798.31,2.5,8476995.775,44034.0,947.0,8951.421092925028,77.00409479038925,3580.568437170011,7570959.1976303775,89.31181987796116,7994.6770830310215
4336,PR,Catano,346297.02,2.5,865742.55,24532.0,264.0,3279.3278409090917,14.116134844285016,1311.7311363636363,612944.8796759424,70.79990231229161,2321.760907863418
4336,PR,Culebra,750755.33,2.5,1876888.325,1824.0,213.0,8811.682276995305,411.5983168859649,3524.672910798122,1672210.0219028483,89.09480652786566,7850.751276539194
4336,PR,Dorado,884455.97,2.5,2211139.925,36721.0,390.0,5669.589551282051,24.085835625391464,2267.8358205128206,1835906.9133665336,83.02988393493614,4707.453624016753
4336,PR,Fajardo,482845.22,2.5,1207113.0499999998,33408.0,781.0,1545.5992957746475,14.452981920498084,618.2397183098591,458094.36002317886,37.94958227178299,586.5484763420984
4336,PR,Loiza,1357502.2599999998,2.5,3393755.6499999994,25441.0,917.0,3700.933097055616,53.35884045438465,1480.3732388222463,2515366.000777431,74.11747515698224,2743.0381687867293
4336,PR,Luquillo,458914.2100000001,2.5,1147285.525,18432.0,407.0,2818.883353808354,24.89768934461806,1127.5533415233417,757767.1949366144,66.04870177688457,1861.8358597951212
4336,PR,Toa Baja,1542159.56,2.5,3855398.9,79330.0,634.0,6081.070820189275,19.439802848859195,2432.42832807571,3245580.5424376586,84.18274286579421,5119.21221204678
4336,PR,Vega Baja,1264283.69,2.5,3160709.225,55857.0,703.0,4496.030192034139,22.634292747551783,1798.4120768136556,2484844.3432603907,78.61667006905358,3534.629222276516
4336,PR,Vieques,2472271.59,2.5,6180678.975,8577.0,349.0,17709.68187679083,288.24432668765303,7083.872750716332,5847150.295792517,94.60368867956805,16754.01230886108
4337,FL,Alachua County,7596709.25,1.4285714285714286,10852441.785714284,266501.0,21843.0,496.8384281332365,28.50536864777243,347.7868996932656,1085244.1785714284,10.0,49.68384281332364
4337,FL,Baker County,1214777.68,1.4285714285714286,1735396.6857142856,28255.0,2876.0,603.406358036956,42.99337037692444,422.38445062586925,173539.66857142857,10.0,60.34063580369561
4337,FL,Bradford County,2915070.87,1.4285714285714286,4164386.9571428574,27158.0,3531.0,1179.378917344338,107.33746483540762,825.5652421410366,774809.7314464446,18.605613249207597,219.43068010377928
