disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4337,FL,St. Johns County,7804.0,6075743.88,2291.0,4948936.4,2673477.77,1426682.02,4540.0,1391.0,1543049.71,1665.0,898974.0,627492.02,6491986.11,12344.0,6075743.88
4337,FL,St. Lucie County,18097.0,6961891.5,3847.0,7276497.8,3781389.53,2033086.0,14781.0,4336.0,5163043.64,0.0,2657829.0,2471462.9,12439541.44,32878.0,6961891.5
4337,FL,Statewide,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
4337,FL,Sumter County,4472.0,1756999.7,1331.0,2178124.44,1011261.59,682777.4,2609.0,713.0,625596.49,0.0,331818.0,291815.89,2803720.9299999997,7081.0,1756999.7
4337,FL,Suwannee County,3138.0,685096.4,1016.0,1087456.41,282399.5,500292.0,2053.0,665.0,534583.16,0.0,305904.0,228310.14,1622039.5699999998,5191.0,685096.4
4337,FL,Union County,748.0,295790.60000000003,189.0,336319.59,173799.0,100376.0,572.0,168.0,133092.9,0.0,65812.0,67280.9,469412.49,1320.0,295790.60000000003
4337,FL,Volusia County,31908.0,10095880.78,8775.0,13573166.81,4921604.22,5598240.0,30298.0,9814.0,11403011.5,3665.0,6372658.99,4988742.09,24976178.310000002,62206.0,10095880.78
4337,GA,Bulloch County,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4337,GA,Chatham County,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,500.0,0.0,0.0,500.0,500.0,1.0,0.0
4337,GA,Dougherty County,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,MS,Lowndes County,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,Anasco,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,Fajardo,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4337,PR,Guayama,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,Humacao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,Juana Diaz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,Las Piedras,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,PR,San Juan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,SC,Cherokee County,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4337,TX,Blanco County,1.0,0.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,0.0
4337,TX,Burnet County,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4338,FL,Volusia County,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4338,GA,Camden County,2460.0,1765125.9,550.0,1677721.0199999998,1088036.53,401191.0,2386.0,651.0,639494.01,0.0,381592.0,255534.39,2317215.03,4846.0,1765125.9
4338,GA,Charlton County,481.0,328623.3,102.0,252982.99,173874.5,53466.0,250.0,36.0,38903.8,0.0,21398.0,17505.8,291886.79,731.0,328623.3
4338,GA,Chatham County,6869.0,2212894.29,1327.0,2232713.42,914443.25,798665.72,15865.0,2873.0,2619497.46,0.0,1419658.0,1191463.73,4852210.88,22734.0,2212894.29
4338,GA,Coffee County,490.0,290150.89,115.0,203503.9,127852.5,54348.0,191.0,27.0,18487.0,0.0,9570.0,8917.0,221990.9,681.0,290150.89
4338,GA,Glynn County,4684.0,3341713.52,1166.0,2780337.1,1550674.68,813420.09,6397.0,1805.0,1832888.12,0.0,1166704.0,654722.36,4613225.220000001,11081.0,3341713.52
4338,GA,Liberty County,751.0,538777.1599999999,152.0,519631.7,316540.76,129756.0,1337.0,209.0,193498.46,0.0,106398.0,84202.5,713130.16,2088.0,538777.1599999999
4338,GA,McIntosh County,1024.0,564651.5,245.0,531540.1,287770.0,169489.0,528.0,107.0,97804.59,0.0,66010.0,31794.590000000004,629344.69,1552.0,564651.5
4338,GA,Statewide,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4339,PR,Adjuntas,4071.0,14063272.88,2137.0,10383518.84,6473195.19,766260.9,1597.0,750.0,1583152.01,1108.8,214060.0,1367983.21,11966670.85,5668.0,14063272.88
4339,PR,Aguada,9902.0,21126827.06,4169.0,16643330.85,9065956.9,1176278.45,2701.0,1059.0,1869365.5,27404.64,218785.0,1623175.86,18512696.35,12603.0,21126827.06
4339,PR,Aguadilla,11535.0,15523405.580000002,3993.0,12324755.0,6533520.13,997652.41,5965.0,2347.0,3928543.64,206.87,288723.0,3636823.77,16253298.64,17500.0,15523405.580000002
4339,PR,Aguas Buenas,5749.0,15388278.59,2725.0,10905174.35,6857606.23,1015337.0,2294.0,1033.0,1639886.1,0.0,300081.0,1339805.1,12545060.45,8043.0,15388278.59
4339,PR,Aibonito,6095.0,22542720.1,3078.0,15163138.44,9437363.86,1145501.0,2121.0,1037.0,2166280.8400000003,0.0,297281.64,1868999.2,17329419.28,8216.0,22542720.1
4339,PR,Anasco,7138.0,18762070.25,3335.0,15363243.32,7942081.01,1282194.0,1975.0,847.0,1662924.6700000002,1813.49,198817.0,1461776.15,17026167.990000002,9113.0,18762070.25
4339,PR,Arecibo,22118.0,41025265.15,9758.0,34598753.87,18347782.04,2900182.54,7741.0,3399.0,6389584.27,7561.13,670173.0,5711850.14,40988338.14,29859.0,41025265.15
