disasterNumber,state,county_clean,validRegistrations,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount
4339,PR,Rio Grande,3926,1845,2682676.64,23046.62,439202.0,2220428.02
4339,PR,Sabana Grande,1863,504,419601.71,0.0,18064.0,401537.71
4339,PR,Salinas,2093,1120,2384440.81,522.57,289438.0,2091739.22
4339,PR,San German,2932,1053,815721.0900000001,0.0,53410.0,762311.0900000001
4339,PR,San Juan,63249,25668,25698927.74,5513.3,5396349.6,20244373.59
4339,PR,San Lorenzo,2898,1194,1685463.2,1419.74,203116.0,1480927.46
4339,PR,San Sebastian,3276,1129,1668524.2000000002,2545.16,171726.0,1494253.0400000003
4339,PR,Santa Isabel,1768,922,1876224.69,3539.64,187535.0,1684319.33
4339,PR,Toa Alta,4417,1803,2612758.8000000003,25790.62,461104.0,2125864.18
4339,PR,Toa Baja,7720,3605,9217547.11,6141.79,1521228.91,7689272.69
4339,PR,Trujillo Alto,6541,2840,3557205.7,0.0,722839.0,2830381.83
4339,PR,Utuado,2702,1231,2729191.15,0.0,371344.0,2357847.15
4339,PR,Vega Alta,2679,1133,1848372.06,0.0,322052.0,1525767.06
4339,PR,Vega Baja,4626,2007,3754420.13,22868.5,645693.0,3085092.4899999998
4339,PR,Vieques,668,346,680178.85,0.0,116070.0,561066.85
4339,PR,Villalba,1587,669,1077172.75,0.0,157185.0,919987.7499999999
4339,PR,Yabucoa,1996,1096,2329865.11,19400.46,403597.0,1905777.25
4339,PR,Yauco,3030,1129,1332750.14,4233.38,114261.0,1214255.76
4340,VI,St. Croix County,7357,4700,11036054.61,0.0,4209680.5,6815541.239999999
4340,VI,St. John County,238,117,364380.4,0.0,221642.0,141274.53
4340,VI,St. Thomas County,2906,1309,3016477.48,0.0,1253184.0,1761674.03
4341,FL,Big Cypress Indian Reservation,126,0,0.0,0.0,0.0,0.0
4341,FL,Brighton Indian Reservation,21,0,0.0,0.0,0.0,0.0
4341,FL,Fort Pierce Indian Reservation,57,0,0.0,0.0,0.0,0.0
4341,FL,Hollywood Indian Reservation,215,0,0.0,0.0,0.0,0.0
4341,FL,Immokalee Indian Reservation,45,0,0.0,0.0,0.0,0.0
4341,FL,Tampa Reservation,358,0,0.0,0.0,0.0,0.0
