disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,ia_validRegistrations,adjusted_applicants,fema_per_capita,fema_per_applicant
4338,GA,Charlton County,291886.79,1.4285714285714286,416981.12857142853,12779.0,399.2979343365253,731.0,1044.2857142857142,22.84112919633774,279.5085540355677
4338,GA,Chatham County,4852210.88,1.4285714285714286,6931729.828571429,289771.0,213.43410222574116,22734.0,32477.14285714286,16.744984418730652,149.4038715580188
4338,GA,Coffee County,221990.9,1.4285714285714286,317129.85714285716,42871.0,325.9778267254038,681.0,972.8571428571429,5.178113409997434,228.18447870778266
4338,GA,Glynn County,4613225.220000001,1.4285714285714286,6590321.742857144,84836.0,416.3184929158019,11081.0,15830.0,54.37815573577256,291.4229450410613
4338,GA,Liberty County,713130.16,1.4285714285714286,1018757.3714285715,61819.0,341.5374329501916,2088.0,2982.857142857143,11.535776379430272,239.07620306513408
4338,GA,McIntosh County,629344.69,1.4285714285714286,899063.8428571428,14092.0,405.50559922680407,1552.0,2217.1428571428573,44.659714022140214,283.85391945876285
4339,PR,Adjuntas,11966670.85,2.5,29916677.125,18503.0,2111.268675017643,5668.0,14170.0,646.7421958601308,844.5074700070571
4339,PR,Aguada,18512696.35,2.5,46281740.875,39260.0,1468.9118741569469,12603.0,31507.5,471.54091569027,587.5647496627787
4339,PR,Aguadilla,16253298.64,2.5,40633246.6,56765.0,928.7599222857143,17500.0,43750.0,286.3260572535894,371.50396891428574
4339,PR,Aguas Buenas,12545060.45,2.5,31362651.125,25515.0,1559.74890588089,8043.0,20107.5,491.6739349402312,623.899562352356
4339,PR,Aibonito,17329419.28,2.5,43323548.2,25030.0,2109.228247322298,8216.0,20540.0,692.3459560527367,843.6912989289192
4339,PR,Anasco,17026167.990000002,2.5,42565419.97500001,26645.0,1868.3384165477892,9113.0,22782.5,639.0004875211109,747.3353666191157
4339,PR,Arecibo,40988338.14,2.5,102470845.35,90083.0,1372.729767909173,29859.0,74647.5,455.00636235471734,549.0919071636692
4339,PR,Arroyo,9687821.89,2.5,24219554.725,16888.0,1638.3936901741927,5913.0,14782.5,573.6512251302701,655.357476069677
4339,PR,Barceloneta,12577487.52,2.5,31443718.799999997,23364.0,1511.5355750510755,8321.0,20802.5,538.3276630713918,604.6142300204302
4339,PR,Barranquitas,21622585.59,2.5,54056463.975,29466.0,2195.6321679528837,9848.0,24620.0,733.8147556505803,878.2528671811535
4339,PR,Bayamon,48970302.84,2.5,122425757.10000001,191556.0,774.185076674993,63254.0,158135.0,255.6448393159181,309.6740306699972
4339,PR,Cabo Rojo,6757031.19,2.5,16892577.975,48455.0,472.8172409208593,14291.0,35727.5,139.44961696419358,189.12689636834372
4339,PR,Caguas,39068627.21,2.5,97671568.025,131805.0,916.6520543863354,42621.0,106552.5,296.4123304123516,366.66082175453414
4339,PR,Camuy,9667489.08,2.5,24168722.7,33505.0,926.0934074145033,10439.0,26097.5,288.5386981047605,370.4373629658013
4339,PR,Canovanas,34459216.99,2.5,86148042.47500001,44034.0,2173.671670346307,15853.0,39632.5,782.5593175727847,869.4686681385227
4339,PR,Carolina,29855523.63,2.5,74638809.075,160905.0,573.4279003169116,52065.0,130162.5,185.54751953015753,229.3711601267646
4339,PR,Catano,8664934.27,2.5,21662335.674999997,24532.0,1124.1481927867148,7708.0,19270.0,353.2094517365074,449.659277114686
4339,PR,Cayey,21283934.9,2.5,53209837.25,43477.0,1469.6820121530175,14482.0,36205.0,489.5446994962854,587.872804861207
4339,PR,Ceiba,5672614.069999999,2.5,14181535.174999999,11961.0,1386.6081813737471,4091.0,10227.5,474.2591815065629,554.6432725494989
4339,PR,Ciales,15244663.21,2.5,38111658.025000006,17539.0,2520.195604232105,6049.0,15122.5,869.1865676492389,1008.0782416928419
4339,PR,Cidra,18274288.02,2.5,45685720.05,41094.0,1372.149573509536,13318.0,33295.0,444.6947977806979,548.8598294038144
4339,PR,Coamo,17070069.82,2.5,42675174.55,36250.0,1398.8420732606735,12203.0,30507.5,470.89847779310344,559.5368293042694
4339,PR,Comerio,17731063.55,2.5,44327658.875,19502.0,2693.462486708188,6583.0,16457.5,909.1920597887397,1077.3849946832752
4339,PR,Corozal,25628773.43,2.5,64071933.575,35371.0,2282.1703855743544,11230.0,28075.0,724.5702250431144,912.8681542297418
4339,PR,Culebra,898063.8,2.5,2245159.5,1824.0,1592.3117021276596,564.0,1410.0,492.3595394736842,636.9246808510638
4339,PR,Dorado,16621184.79,2.5,41552961.974999994,36721.0,1495.6523701970664,11113.0,27782.5,452.634317965197,598.2609480788266
4339,PR,Fajardo,8685887.86,2.5,21714719.65,33408.0,769.4797891566265,11288.0,28220.0,259.9942486829502,307.7919156626506
4339,PR,Florida,6460300.81,2.5,16150752.024999999,12058.0,1544.4180755438679,4183.0,10457.5,535.7688513849725,617.7672302175472
4339,PR,Guanica,4454226.3,2.5,11135565.75,15372.0,770.2276154245202,5783.0,14457.5,289.7623145979703,308.09104616980807
4339,PR,Guayama,25784427.800000004,2.5,64461069.500000015,39225.0,2014.0937197312924,12802.0,32005.0,657.3467890376037,805.6374878925169
4339,PR,Guayanilla,6618354.46,2.5,16545886.15,18798.0,1024.6716922124167,6459.0,16147.5,352.077585913395,409.8686768849667
4339,PR,Guaynabo,22085372.26,2.5,55213430.650000006,91928.0,788.4816943948591,28010.0,70025.0,240.24641306239667,315.3926777579436
4339,PR,Gurabo,12603289.2,2.5,31508223.0,42119.0,981.7939705538678,12837.0,32092.5,299.2304945511527,392.7175882215471
4339,PR,Hatillo,13342246.34,2.5,33355615.85,39540.0,1185.7666494845362,11252.0,28130.0,337.4366803237228,474.30665979381445
4339,PR,Hormigueros,2728205.5,2.5,6820513.75,16131.0,533.2692533229085,5116.0,12790.0,169.12810737090075,213.30770132916342
4339,PR,Humacao,33225808.9,2.5,83064522.25,53084.0,1762.4553840441333,18852.0,47130.0,625.9100463416472,704.9821536176532
4339,PR,Isabela,13270539.68,2.5,33176349.2,43711.0,1048.3086878900388,12659.0,31647.5,303.5972565258173,419.3234751560155
4339,PR,Jayuya,9441924.42,2.5,23604811.05,15334.0,1916.3637954130304,4927.0,12317.5,615.750907786618,766.5455181652121
4339,PR,Juana Diaz,22562633.5,2.5,56406583.75,47816.0,1437.385073580939,15697.0,39242.5,471.8636753387987,574.9540294323756
4339,PR,Juncos,17119171.23,2.5,42797928.075,38064.0,1305.2128110704484,13116.0,32790.0,449.7470373581337,522.0851244281794
4339,PR,Lajas,4620305.5600000005,2.5,11550763.900000002,24005.0,611.3132521831174,7558.0,18895.0,192.4726332014164,244.52530087324692
4339,PR,Lares,8528760.73,2.5,21321901.825000003,28822.0,1021.2861609388099,8351.0,20877.5,295.9114818541392,408.5144643755239
4339,PR,Las Marias,3779035.68,2.5,9447589.200000001,9181.0,1317.1961240850471,2869.0,7172.5,411.6148219148241,526.8784496340188
4339,PR,Las Piedras,15615274.81,2.5,39038187.025,36239.0,1303.11898606359,11983.0,29957.5,430.896956593725,521.2475944254361
4339,PR,Loiza,13162541.6,2.5,32906354.0,25441.0,1726.2349639344263,7625.0,19062.5,517.3751660705161,690.4939855737705
4339,PR,Luquillo,5309352.449999999,2.5,13273381.124999998,18432.0,873.9674814814814,6075.0,15187.5,288.05080566406247,349.58699259259254
4339,PR,Manati,16515138.04,2.5,41287845.099999994,40805.0,1210.0775234466587,13648.0,34120.0,404.73319544173506,484.0310093786635
4339,PR,Maricao,2767756.95,2.5,6919392.375,5156.0,1657.339491017964,1670.0,4175.0,536.80313227308,662.9357964071856
4339,PR,Maunabo,8787536.61,2.5,21968841.525,11050.0,2376.9371409250743,3697.0,9242.5,795.2521819004525,950.7748563700297
4339,PR,Mayaguez,18482218.93,2.5,46205547.325,77177.0,748.2073892802202,24702.0,61755.0,239.47832812884667,299.2829557120881
4339,PR,Moca,13664432.89,2.5,34161082.225,38302.0,1224.521273411596,11159.0,27897.5,356.755075191896,489.80850936463844
4339,PR,Morovis,22956501.820000004,2.5,57391254.55000001,29862.0,2342.0222219955117,9802.0,24505.0,768.7529910923583,936.8088887982046
4339,PR,Naguabo,15012565.840000002,2.5,37531414.6,24369.0,1840.9032299202943,8155.0,20387.5,616.0517805408512,736.3612919681178
4339,PR,Naranjito,23388755.78,2.5,58471889.45,29656.0,2424.4589799937808,9647.0,24117.5,788.6685925276504,969.7835919975122
4339,PR,Orocovis,19465545.31,2.5,48663863.275,22005.0,2495.9027195794333,7799.0,19497.5,884.5964694387638,998.3610878317733
4339,PR,Patillas,11563580.52,2.5,28908951.299999997,16912.0,1923.4165868263472,6012.0,15030.0,683.7500307473982,769.3666347305389
4339,PR,Penuelas,8299323.39,2.5,20748308.474999998,21476.0,1298.7986525821595,6390.0,15975.0,386.4464234494319,519.5194610328638
4339,PR,Ponce,51486265.17,2.5,128715662.92500001,145596.0,1032.9688255121082,49843.0,124607.5,353.6241735349872,413.1875302048432
4339,PR,Quebradillas,5839452.2,2.5,14598630.5,24271.0,740.6712582445459,7884.0,19710.0,240.593803304355,296.26850329781837
4339,PR,Rincon,4566812.16,2.5,11417030.4,15242.0,980.0026094420601,4660.0,11650.0,299.62027030573415,392.001043776824
4339,PR,Rio Grande,18980241.65,2.5,47450604.125,49084.0,1191.7022446160609,15927.0,39817.5,386.68897502241055,476.6808978464243
4339,PR,Sabana Grande,2679801.14,2.5,6699502.850000001,23498.0,348.1617695205925,7697.0,19242.5,114.04379691888671,139.26470780823698
4339,PR,Salinas,23293806.34,2.5,58234515.85,27375.0,2320.3313417671084,10039.0,25097.5,850.9153000913242,928.1325367068433
4339,PR,San German,4814669.09,2.5,12036672.725,32917.0,468.71778524143303,10272.0,25680.0,146.26694686636085,187.4871140965732
4339,PR,San Juan,66487408.11,2.5,166218520.275,356296.0,545.3318797418001,121921.0,304802.5,186.6072257617262,218.13275189672
4339,PR,San Lorenzo,13057623.22,2.5,32644058.05,38697.0,1093.5117008625743,11941.0,29852.5,337.4324423081893,437.40468034502976
