state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
TX,Lee County,17104.0,210.0,418666.3428571428,1993.64925170068,293066.43999999994,1395.554476190476,1,[4332],0.0,0,0.0,0.0
TX,Liberty County,83648.0,10522.0,42928798.31428572,4079.9086023841205,30050158.82,2855.936021668884,1,[4332],42928798.31428572,1,100.0,4079.9086023841205
TX,Matagorda County,36848.0,9732.0,8180307.214285715,840.5576669015326,5726215.05,588.3903668310727,1,[4332],0.0,0,0.0,0.0
TX,Montgomery County,571542.0,19176.0,56708062.98571429,2957.241499046427,39695644.09,2070.069049332499,1,[4332],56708062.98571429,1,100.0,2957.241499046427
TX,Newton County,13909.0,1988.0,5899247.4,2967.4282696177065,4129473.18,2077.1997887323946,1,[4332],5899247.4,1,100.0,2967.4282696177065
TX,Nueces County,361328.0,50516.0,26390172.61428571,522.4121588068277,18473120.83,365.6885111647794,1,[4332],0.0,0,0.0,0.0
TX,Orange County,85056.0,28562.0,181811579.9142857,6365.505913951603,127268105.94,4455.854139766123,1,[4332],181811579.9142857,1,100.0,6365.505913951603
TX,Polk County,48938.0,2234.0,4525097.814285715,2025.5585560813406,3167568.47,1417.8909892569384,1,[4332],0.0,0,0.0,0.0
TX,Refugio County,7178.0,2758.0,7822165.142857143,2836.173003211437,5475515.6,1985.3211022480057,1,[4332],7822165.142857143,1,100.0,2836.173003211437
TX,Sabine County,10422.0,286.0,170100.94285714286,594.7585414585415,119070.66,416.33097902097904,1,[4332],0.0,0,0.0,0.0
TX,San Jacinto County,28233.0,2426.0,11678522.657142855,4813.9005181957355,8174965.859999999,3369.7303627370156,1,[4332],11678522.657142855,1,100.0,4813.9005181957355
TX,San Patricio County,67221.0,16570.0,24569432.92857143,1482.766018622295,17198603.05,1037.9362130356067,1,[4332],0.0,0,0.0,0.0
TX,Tyler County,21498.0,1914.0,3208673.9285714286,1676.42316017316,2246071.75,1173.496212121212,1,[4332],0.0,0,0.0,0.0
TX,Victoria County,92011.0,19589.0,18700162.12857143,954.6256638200739,13090113.489999998,668.2379646740517,1,[4332],0.0,0,0.0,0.0
TX,Walker County,72764.0,1897.0,2407167.4857142856,1268.93383537917,1685017.24,888.253684765419,1,[4332],0.0,0,0.0,0.0
TX,Waller County,51736.0,2332.0,5801734.185714286,2487.879153393776,4061213.93,1741.5154073756432,1,[4332],0.0,0,0.0,0.0
TX,Wharton County,41869.0,5503.0,22063392.77142857,4009.339046234521,15444374.94,2806.5373323641647,1,[4332],22063392.77142857,1,100.0,4009.339046234521
VI,St. Croix,50601.0,16926.0,47306523.4,2794.902717712395,33114566.38,1956.4319023986766,1,[4340],47306523.4,1,100.0,2794.902717712395
VI,St. John,4170.0,2959.0,18161250.385714285,6137.631086757109,12712875.27,4296.341760729976,2,"[4335, 4340]",18161250.385714285,1,100.0,6137.631086757109
VI,St. Thomas,51634.0,18593.0,55811614.38571429,3001.7541217508897,39068130.07000001,2101.227885225623,2,"[4335, 4340]",55811614.38571429,1,100.0,3001.7541217508897
